2026-09-14T08:12:07.8998240+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS038 — GodotSharp System.Void Godot.NativeInterop.NativeFuncs::godotsharp_method_bind_ptrcall(System.IntPtr,System.IntPtr,System.Void**,System.Void*)
2026-09-14T08:12:07.8999620+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=2 | INMETHOD_GS010 — GodotSharp System.Collections.Concurrent.ConcurrentDictionary`2<System.WeakReference`1<System.IDisposable>,System.Byte> Godot.DisposablesTracker::get_OtherInstances()
2026-09-14T08:12:07.9001030+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS024 — GodotSharp Godot.GodotObject Godot.NativeInterop.InteropUtils::UnmanagedGetManaged(System.IntPtr)
2026-09-14T08:12:07.9002400+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS034 — GodotSharp System.IntPtr Godot.NativeInterop.NativeFuncs::godotsharp_internal_unmanaged_get_script_instance_managed(System.IntPtr,Godot.NativeInterop.godot_bool&)
2026-09-14T08:12:07.9003850+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS023 — GodotSharp System.Boolean Godot.NativeInterop.GodotBoolExtensions::ToBool(Godot.NativeInterop.godot_bool)
2026-09-14T08:12:07.9005310+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS035 — GodotSharp System.IntPtr Godot.NativeInterop.NativeFuncs::godotsharp_internal_unmanaged_get_instance_binding_managed(System.IntPtr)
2026-09-14T08:12:07.9006790+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS011 — GodotSharp System.WeakReference`1<System.IDisposable> Godot.DisposablesTracker::RegisterDisposable(System.IDisposable)
2026-09-14T08:12:07.9008240+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS010 — GodotSharp System.Collections.Concurrent.ConcurrentDictionary`2<System.WeakReference`1<System.IDisposable>,System.Byte> Godot.DisposablesTracker::get_OtherInstances()
2026-09-14T08:12:07.9009720+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS017 — GodotSharp Godot.NativeInterop.godot_string* Godot.NativeInterop.CustomUnsafe::AsPointer(Godot.NativeInterop.godot_string&)
2026-09-14T08:12:07.9011210+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS048 — GodotSharp Godot.NativeInterop.godot_string* Godot.NativeInterop.godot_string::GetUnsafeAddress()
2026-09-14T08:12:07.9012670+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS027 — GodotSharp System.String Godot.NativeInterop.Marshaling::ConvertStringToManaged(Godot.NativeInterop.godot_string&)
2026-09-14T08:12:07.9014110+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS050 — GodotSharp System.IntPtr Godot.NativeInterop.godot_string::get_Buffer()
2026-09-14T08:12:07.9015540+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS050 — GodotSharp System.IntPtr Godot.NativeInterop.godot_string::get_Buffer()
2026-09-14T08:12:07.9016980+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS051 — GodotSharp System.Int32 Godot.NativeInterop.godot_string::get_Size()
2026-09-14T08:12:07.9018430+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS049 — GodotSharp System.Void Godot.NativeInterop.godot_string::Dispose()
2026-09-14T08:12:07.9019910+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS041 — GodotSharp System.Void Godot.NativeInterop.NativeFuncs::godotsharp_string_destroy(Godot.NativeInterop.godot_string&)
2026-09-14T08:12:07.9021380+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS017 — GodotSharp Godot.NativeInterop.godot_string* Godot.NativeInterop.CustomUnsafe::AsPointer(Godot.NativeInterop.godot_string&)
2026-09-14T08:12:07.9022860+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS048 — GodotSharp Godot.NativeInterop.godot_string* Godot.NativeInterop.godot_string::GetUnsafeAddress()
2026-09-14T08:12:07.9024360+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS012 — GodotSharp System.Void Godot.GodotObject::ConstructAndInitialize(method System.IntPtr *(Godot.NativeInterop.godot_bool),Godot.StringName,System.Type,System.Boolean)
2026-09-14T08:12:07.9025830+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS010 — GodotSharp System.Collections.Concurrent.ConcurrentDictionary`2<System.WeakReference`1<System.IDisposable>,System.Byte> Godot.DisposablesTracker::get_OtherInstances()
2026-09-14T08:12:07.9027300+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS026 — GodotSharp Godot.NativeInterop.godot_string Godot.NativeInterop.Marshaling::ConvertStringToNative(System.String)
2026-09-14T08:12:07.9028840+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS017 — GodotSharp Godot.NativeInterop.godot_string* Godot.NativeInterop.CustomUnsafe::AsPointer(Godot.NativeInterop.godot_string&)
