StS2 Launcher — Step 36.0 controlled exact ExecuteEssential checkpoint
Output-only diagnostic; never consumed as trusted runtime input.
Run ID: 20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b
Initialized UTC: 2026-09-05T19:14:32.9463410+00:00
Process ID: 61113
App version: 0.0.155 (155)
Candidate: STEP 36.0 — CONTROLLED EXACT EXECUTEESSENTIAL + STEP35 UI RETURN FIX
Prerequisite: same-process physical exact Step-35 core closure; ExecuteDeferred/PrewarmJit/entry/native game load remain forbidden.

2026-09-05T19:14:32.9540670+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=1 | RUN_TELEMETRY_READY — Step36 run journal created and durably flushed before Gate A.
2026-09-05T19:14:32.9591430+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=1 | RUN_START — Step 36.0 controlled exact ExecuteEssential run started after same-process exact Step-35 closure.
2026-09-05T19:14:32.9614050+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=8 | E_A_ENTRY — exact Step-35 core closure baseline present; beginning read-only ExecuteEssential source/transformed audit.
2026-09-05T19:14:33.0784740+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=8 | E_A_PASS — exact source/transformed ExecuteEssential semantics matched; sourceToken=0x06007D03; transformedToken=0x0600AFE8; semanticSha256=1df430b82462cd22c50be2ef0cf56bec66382421a8784620fb4ca015bb1fb832; no ExecuteDeferred/PrewarmJit/Harmony crossover.
2026-09-05T19:14:33.0788890+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=1 | E_A_TASK_AWAIT_RESUMED — Gate A returned to UI caller; passed=True.
2026-09-05T19:14:33.0872440+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=1 | E_A_STATIC_MAP_WRITE_RETURNED — verified ExecuteEssential static map durably written.
2026-09-05T19:14:33.0876470+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=1 | E_B_ENTRY — exact Step-35 authority/context continuity accepted; binding exact ExecuteEssential without invoking it.
2026-09-05T19:14:33.0879090+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=1 | E_B_PACK_RECEIPT_START — reading the already-OfflineReady Step-12 receipt to locate the exact game PCK; managedRoot=/var/mobile/Containers/Data/Application/974431A3-48E4-4E10-92DA-BABFE5C67DF6/Documents/StS2Launcher/Step12-ManagedInstall/Depot-2868842.
2026-09-05T19:14:33.0889990+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=1 | E_B_PACK_RECEIPT_PASS — exact receipt-backed game PCK located; relative=SlayTheSpire2.app/Contents/Resources/Slay the Spire 2.pck; bytes=1901118240; receiptSha1=9370E3CE1A5EBE4A4CF9A27AC481990C54941448; no second full-file hash is performed because exact Step-35 Gate D just re-proved OfflineReady 428/428.
2026-09-05T19:14:33.0891730+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=1 | E_B_PACK_BIND_START — binding exact GodotSharp Godot.ProjectSettings.LoadResourcePack for the receipt-backed PCK; replaceFiles=false; offset=0.
2026-09-05T19:14:33.0893420+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=1 | E_B_PACK_BIND_PASS — exact GodotSharp LoadResourcePack bound; token=0x06005D68; offsetType=System.Int32.
