StS2 Launcher — Step 36.0.4 ModelDb-bootstrap ExecuteEssential checkpoint
Output-only diagnostic; never consumed as trusted runtime input.
Run ID: 20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991
Initialized UTC: 2026-09-07T00:52:48.1794900+00:00
Process ID: 72367
App version: 0.0.158 (158)
Candidate: STEP 36.0.4 — DEPENDENCY-AWARE MODELDB BOOTSTRAP + FULL UNCHANGED EXECUTEESSENTIAL
Prerequisite: same-process Step-35.0.32 MODEL-BOOTSTRAP 4/4 authority; ExecuteDeferred/PrewarmJit/entry/native game load remain forbidden.

2026-09-07T00:52:48.1870280+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | RUN_TELEMETRY_READY — Step36 run journal created and durably flushed before Gate A.
2026-09-07T00:52:48.1910770+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | RUN_START — Step 36.0.4 full ExecuteEssential run started after same-process MODEL-BOOTSTRAP Step-35 authority closure.
2026-09-07T00:52:48.1930730+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=4 | E_A_ENTRY — Step-35 ModelDb-bootstrap compatibility authority baseline present; beginning read-only ExecuteEssential source/selected-authority audit.
2026-09-07T00:52:48.3218220+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=4 | E_A_PASS — source/selected-authority ExecuteEssential semantics matched; authorityMode=GodotCoreModelBootstrapCompatibility; sourceToken=0x06007D03; transformedToken=0x0600AFE9; semanticSha256=1df430b82462cd22c50be2ef0cf56bec66382421a8784620fb4ca015bb1fb832; no ExecuteDeferred/PrewarmJit/Harmony crossover.
2026-09-07T00:52:48.3225730+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_A_TASK_AWAIT_RESUMED — Gate A returned to UI caller; passed=True.
2026-09-07T00:52:48.3311650+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_A_STATIC_MAP_WRITE_RETURNED — verified ExecuteEssential static map durably written.
2026-09-07T00:52:48.3315770+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_B_ENTRY — Step-35 authority/context continuity accepted; authorityMode=GodotCoreModelBootstrapCompatibility; binding unchanged ExecuteEssential without invoking it.
2026-09-07T00:52:48.3318280+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_B_PACK_RECEIPT_START — reading the already-OfflineReady Step-12 receipt to locate the exact game PCK; managedRoot=/var/mobile/Containers/Data/Application/153688EA-6239-47B9-9FCE-A38A63D61C97/Documents/StS2Launcher/Step12-ManagedInstall/Depot-2868842.
2026-09-07T00:52:48.3353260+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_B_PACK_RECEIPT_PASS — exact receipt-backed game PCK located; relative=SlayTheSpire2.app/Contents/Resources/Slay the Spire 2.pck; bytes=1901118240; receiptSha1=9370E3CE1A5EBE4A4CF9A27AC481990C54941448; no second full-file hash is performed because exact Step-35 Gate D just re-proved OfflineReady 428/428.
2026-09-07T00:52:48.3354940+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_B_PACK_BIND_START — binding exact GodotSharp Godot.ProjectSettings.LoadResourcePack for the receipt-backed PCK; replaceFiles=false; offset=0.
2026-09-07T00:52:48.3356520+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_B_PACK_BIND_PASS — exact GodotSharp LoadResourcePack bound; token=0x06005D68; offsetType=System.Int32.
2026-09-07T00:52:48.3357680+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_B_PACK_LOAD_START — mounting receipt-backed game PCK into the live source-built Godot resource filesystem; path=/var/mobile/Containers/Data/Application/153688EA-6239-47B9-9FCE-A38A63D61C97/Documents/StS2Launcher/Step12-ManagedInstall/Depot-2868842/SlayTheSpire2.app/Contents/Resources/Slay the Spire 2.pck; replaceFiles=false; offset=0.
2026-09-07T00:52:48.3569810+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_B_PACK_LOAD_RETURNED — returned=True; replaceFiles=false; path=SlayTheSpire2.app/Contents/Resources/Slay the Spire 2.pck.
2026-09-07T00:52:48.3571490+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_B_LOCALIZATION_DIR_PROBE_START — probing the exact prior failure path res://localization/eng through Godot.DirAccess.Open after pack mount.
2026-09-07T00:52:48.3574330+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_B_LOCALIZATION_DIR_PROBE_RETURNED — exists=True; path=res://localization/eng.
2026-09-07T00:52:48.3575750+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_B_GAME_RESOURCE_PACK_PASS — exact receipt-backed game PCK is mounted additively in source-built Godot and the prior localization directory boundary is now visible; pack=SlayTheSpire2.app/Contents/Resources/Slay the Spire 2.pck; localization=res://localization/eng.
2026-09-07T00:52:48.3577000+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_B_PASS — unchanged ExecuteEssential MethodInfo bound from authorityMode=GodotCoreModelBootstrapCompatibility; token=0x0600AFE9; stateBefore=1; exact game PCK mounted; localizationProbe=res://localization/eng; resolver baseline unchanged.
2026-09-07T00:52:48.3602680+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_C_UI_SELECTED — Gate C selected on the UI thread; entering the synchronous unchanged ExecuteEssential boundary on the verified ModelDb-bootstrap authority.
2026-09-07T00:52:48.3604520+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_C_INVOKE_START — invoking unchanged ExecuteEssential once from the selected sts2 authority on managedThread=1; stateBefore=1; gamePackMounted=SlayTheSpire2.app/Contents/Resources/Slay the Spire 2.pck; localizationProbe=res://localization/eng. This synchronous boundary has no launcher retry in the same process.
2026-09-07T00:52:48.4369960+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_C_EXCEPTION_CAPTURED — top=System.Reflection.TargetInvocationException; base=System.MissingMethodException; stateBefore=1; stateAfterFailure=2.
2026-09-07T00:52:48.4371950+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_C_POST_FAILURE_CONTEXT — sts2ContextSame=True; godotSharpCount=1; godotSharpContextSame=True; resolverDelta=8; hostLoadDelta=5; privateLoadDelta=3; initializerDelta=0; rejectedDelta=0; nativeDelta=0.
2026-09-07T00:52:48.4373120+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_C_EXCEPTION_DEPTH — depth=0; type=System.Reflection.TargetInvocationException; hresult=0x80131604; source=System.Private.CoreLib; target=System.Reflection.MethodBaseInvoker::System.Object InvokeWithNoArgs(System.Object, System.Reflection.BindingFlags); message=Arg_TargetInvocationException; stack=   at System.Reflection.MethodBaseInvoker.InvokeWithNoArgs(Object obj, BindingFlags invokeAttr)\n   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo culture)\n   at System.Reflection.MethodBase.Invoke(Object obj, Object[] parameters)\n   at StS2Launcher.Core.TransformedRealStS2VeryEarlyInitialization.RunExactExecuteEssentialInvocation(Action`1 checkpoint)
2026-09-07T00:52:48.4374300+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_C_EXCEPTION_DEPTH — depth=1; type=System.MissingMethodException; hresult=0x80131513; source=sts2; target=MegaCrit.Sts2.Core.Models.ModelDb::Void Init(); message=Method not found: bool System.Collections.Generic.Dictionary`2.ContainsKey(MegaCrit.Sts2.Core.Models.ModelId); stack=   at MegaCrit.Sts2.Core.Models.ModelDb.Init()\n   at MegaCrit.Sts2.Core.Helpers.OneTimeInitialization.ExecuteEssential()\n   at System.Reflection.MethodBaseInvoker.InterpretedInvoke_Method(Object obj, IntPtr* args)\n   at System.Reflection.MethodBaseInvoker.InvokeWithNoArgs(Object obj, BindingFlags invokeAttr)
2026-09-07T00:52:48.4375650+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_C_BASE_EXCEPTION — type=System.MissingMethodException; hresult=0x80131513; source=sts2; target=MegaCrit.Sts2.Core.Models.ModelDb::Void Init(); message=Method not found: bool System.Collections.Generic.Dictionary`2.ContainsKey(MegaCrit.Sts2.Core.Models.ModelId); stack=   at MegaCrit.Sts2.Core.Models.ModelDb.Init()\n   at MegaCrit.Sts2.Core.Helpers.OneTimeInitialization.ExecuteEssential()\n   at System.Reflection.MethodBaseInvoker.InterpretedInvoke_Method(Object obj, IntPtr* args)\n   at System.Reflection.MethodBaseInvoker.InvokeWithNoArgs(Object obj, BindingFlags invokeAttr)
2026-09-07T00:52:48.4377300+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | E_C_FAIL — stage=single unchanged ExecuteEssential invocation; top=System.InvalidOperationException; base=System.MissingMethodException; message=Method not found: bool System.Collections.Generic.Dictionary`2.ContainsKey(MegaCrit.Sts2.Core.Models.ModelId)
2026-09-07T00:52:48.5076000+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=1 | RUN_FINALLY_ENTER — Step-36 managed control reached finally; managedThread=1; isMain=True; writing deterministic report without requiring a captured UIKit continuation.
2026-09-07T00:52:48.5143690+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=4 | RUN_NORMAL_REPORT_RETURNED — Step36 report writer returned.
2026-09-07T00:52:48.5828680+00:00 | run=20260907T0052481794900Z-pid72367-ef301a62780a4820823effb7f24c3991 | pid=72367 | managedThread=4 | RUN_END — Step-36 UI operation ended normally after explicit main-thread teardown.
