StS2 Launcher — Step 37.0.1 controlled game-scene admission checkpoint
Output-only diagnostic; never consumed as trusted runtime input.
Run ID: 20260907T2058215911920Z-pid78692-0b58c2f1276248978618496097b4215b
Initialized UTC: 2026-09-07T20:58:21.5911920+00:00
Process ID: 78692
App version: 0.0.161 (161)
Candidate: STEP 37.0.1 — SEALED GAME.TSCN + FMOD-NEUTRAL COPY + PACKEDSCENE LOAD + OFF-TREE INSTANTIATION
Prerequisite: same-process Step-36.0.5 4/4 authority; ExecuteDeferred/GameStartup/main-menu/Steam/native GDExtension loading remain forbidden.

2026-09-07T20:58:21.5996690+00:00 | run=20260907T2058215911920Z-pid78692-0b58c2f1276248978618496097b4215b | pid=78692 | managedThread=1 | RUN_TELEMETRY_READY — Step37 run journal created and durably flushed before Gate A.
2026-09-07T20:58:21.6029470+00:00 | run=20260907T2058215911920Z-pid78692-0b58c2f1276248978618496097b4215b | pid=78692 | managedThread=1 | RUN_START — Step 37.0.1 controlled game-scene admission started after same-process Step-36.0.5 4/4 closure.
2026-09-07T20:58:21.6039530+00:00 | run=20260907T2058215911920Z-pid78692-0b58c2f1276248978618496097b4215b | pid=78692 | managedThread=1 | G_A_ENTRY — same-process Step-36.0.5 4/4 authority present; extracting sealed res://scenes/game.tscn directly from the already receipt-backed PCK without loading a scene or GDExtension.
2026-09-07T20:58:21.6174860+00:00 | run=20260907T2058215911920Z-pid78692-0b58c2f1276248978618496097b4215b | pid=78692 | managedThread=1 | G_A_PASS — sealed game.tscn matched exact authority; bytes=10414; sha256=aaec1e04f689122fd812b83fee09ea6e30e2991cf5851dc599b01b7802320ad8; pckMd5=dc9a89798eb1bb38e23563866e746ac5; exactly two FMOD custom node declarations + one desktop bank_paths property identified; no scene load performed.
2026-09-07T20:58:21.6266770+00:00 | run=20260907T2058215911920Z-pid78692-0b58c2f1276248978618496097b4215b | pid=78692 | managedThread=1 | G_A_STATIC_MAP_WRITE_RETURNED — verified sealed game-scene map durably written.
2026-09-07T20:58:21.6278350+00:00 | run=20260907T2058215911920Z-pid78692-0b58c2f1276248978618496097b4215b | pid=78692 | managedThread=1 | G_B_ENTRY — preparing a copied game.tscn derivative; only FmodBankLoader/FmodListener2D node types and the BankLoader bank_paths property may change.
2026-09-07T20:58:21.6291290+00:00 | run=20260907T2058215911920Z-pid78692-0b58c2f1276248978618496097b4215b | pid=78692 | managedThread=1 | G_B_PASS — FMOD-neutral copied scene prepared; path=/var/mobile/Containers/Data/Application/699F7292-1642-4F6F-B6C6-92F9C1C6D92E/Documents/StS2Launcher/Step37-GameSceneAdmission/game-step37-fmod-inert.tscn; bytes=10196; sha256=3adeadc178d0a3f04f69ae415cceda0e4a40a25c14b18e5f5a1e7d852e69e743; edits=3; original PCK/install untouched.
2026-09-07T20:58:21.6354240+00:00 | run=20260907T2058215911920Z-pid78692-0b58c2f1276248978618496097b4215b | pid=78692 | managedThread=1 | G_C_UI_SELECTED — Gate C selected on UI thread; managedThread=1; isMain=True.
2026-09-07T20:58:21.6358830+00:00 | run=20260907T2058215911920Z-pid78692-0b58c2f1276248978618496097b4215b | pid=78692 | managedThread=1 | G_C_ENTRY — binding exact GodotSharp ResourceLoader.Load for copied scene; absolutePath=/var/mobile/Containers/Data/Application/699F7292-1642-4F6F-B6C6-92F9C1C6D92E/Documents/StS2Launcher/Step37-GameSceneAdmission/game-step37-fmod-inert.tscn; cacheMode=IGNORE; no instantiation in Gate C.
2026-09-07T20:58:21.6991040+00:00 | run=20260907T2058215911920Z-pid78692-0b58c2f1276248978618496097b4215b | pid=78692 | managedThread=1 | G_C_PASS — copied FMOD-neutral scene loaded as Godot.PackedScene; canInstantiate=True; resolverDelta=0; hostDelta=0; privateDelta=0; initializerDelta=0; rejectedDelta=0; nativeDelta=0; scene still uninstantiated.
2026-09-07T20:58:21.7008230+00:00 | run=20260907T2058215911920Z-pid78692-0b58c2f1276248978618496097b4215b | pid=78692 | managedThread=1 | G_D_UI_SELECTED — Gate D selected on UI thread; managedThread=1; isMain=True.
2026-09-07T20:58:21.7010560+00:00 | run=20260907T2058215911920Z-pid78692-0b58c2f1276248978618496097b4215b | pid=78692 | managedThread=1 | G_D_ENTRY — instantiating copied PackedScene off-tree with GenEditState.Disabled. This may construct nodes/scripts and child scenes, but the launcher will not AddChild it to any SceneTree.
2026-09-07T20:58:21.7125360+00:00 | run=20260907T2058215911920Z-pid78692-0b58c2f1276248978618496097b4215b | pid=78692 | managedThread=1 | G_D_PASS — off-tree NGame instantiated; rootType=MegaCrit.Sts2.Core.Nodes.NGame; insideTree=False; children=FmodBankLoader=Godot.Node,AudioManager=MegaCrit.Sts2.Core.Nodes.Audio.NAudioManager,DebugAudioManager=MegaCrit.Sts2.Core.Audio.Debug.NDebugAudioManager,RootSceneContainer=MegaCrit.Sts2.Core.Nodes.NSceneContainer,AssetLoader=MegaCrit.Sts2.Core.Nodes.NAssetLoader,FmodListener2D=Godot.Node; resolverDelta=0; hostDelta=0; privateDelta=0; initializerDelta=0; rejectedDelta=0; nativeDelta=0; state=2; AddChild/GameStartup/main-menu/ExecuteDeferred not invoked.
2026-09-07T20:58:21.7262350+00:00 | run=20260907T2058215911920Z-pid78692-0b58c2f1276248978618496097b4215b | pid=78692 | managedThread=1 | G_D_OFFTREE_INSTANCE_RELEASED — temporary off-tree game-scene instance released after audit.
2026-09-07T20:58:21.7308410+00:00 | run=20260907T2058215911920Z-pid78692-0b58c2f1276248978618496097b4215b | pid=78692 | managedThread=1 | RUN_STEP37_4OF4 — sealed game scene loaded and instantiated off-tree under FMOD-neutral compatibility; no SceneTree/startup/deferred/native boundary crossed.
2026-09-07T20:58:21.7309880+00:00 | run=20260907T2058215911920Z-pid78692-0b58c2f1276248978618496097b4215b | pid=78692 | managedThread=1 | RUN_FINALLY_ENTER — Step-37 managed control reached finally; managedThread=1; isMain=True.
2026-09-07T20:58:21.7319120+00:00 | run=20260907T2058215911920Z-pid78692-0b58c2f1276248978618496097b4215b | pid=78692 | managedThread=16 | RUN_NORMAL_REPORT_RETURNED — Step37 report writer returned.
2026-09-07T20:58:21.7332480+00:00 | run=20260907T2058215911920Z-pid78692-0b58c2f1276248978618496097b4215b | pid=78692 | managedThread=16 | RUN_END — Step-37 UI operation ended normally after explicit teardown.
