StS2 Launcher — Step 38.1 controlled NGame._EnterTree checkpoint
Output-only diagnostic; never consumed as trusted runtime input.
Run ID: 20260908T0213448370620Z-pid82170-2800d6c3b45e4e4da88de49eca266332
Initialized UTC: 2026-09-08T02:13:44.8370620+00:00
Process ID: 82170
App version: 0.0.164 (164)
Candidate: STEP 38.1 — VERIFIED INERT GAMESTARTUPWRAPPER + LIFECYCLE STATIC MAP + OFF-TREE NGAME _ENTERTREE ONCE + CONFINEMENT/RELEASE
Prerequisite: same-process Step-37.0.1 4/4 authority; AddChild/_Ready/_ExitTree/GameStartup/InitializePlatform/main-menu/ExecuteDeferred/Steam/native GDExtensions remain forbidden.

2026-09-08T02:13:44.8449400+00:00 | run=20260908T0213448370620Z-pid82170-2800d6c3b45e4e4da88de49eca266332 | pid=82170 | managedThread=1 | RUN_TELEMETRY_READY — Step38 run journal created and durably flushed before Gate A.
2026-09-08T02:13:44.8483560+00:00 | run=20260908T0213448370620Z-pid82170-2800d6c3b45e4e4da88de49eca266332 | pid=82170 | managedThread=1 | RUN_START — Step 38.1 inert-GameStartupWrapper controlled NGame._EnterTree experiment started after same-process Step-37.0.1 4/4 closure.
2026-09-08T02:13:44.8604390+00:00 | run=20260908T0213448370620Z-pid82170-2800d6c3b45e4e4da88de49eca266332 | pid=82170 | managedThread=1 | H_A_ENTRY — Step-37.0.1 4/4 same-process authority present; opening exact selected sts2 compatibility image read-only with Cecil; path=/var/mobile/Containers/Data/Application/41930872-89B3-4C94-8A83-4C15A67E7798/Documents/StS2Launcher/Step35-ExecuteVeryEarlyDiagnostic/sts2.step38.1.lifecycle-bootstrap.dll; sha256=a4b5de407c6e0eb7e00a6c359fcab45647cf35246f42c2c9d92f3f4dbfb2985f. No lifecycle method is invoked in Gate A.
2026-09-08T02:13:44.8873980+00:00 | run=20260908T0213448370620Z-pid82170-2800d6c3b45e4e4da88de49eca266332 | pid=82170 | managedThread=1 | H_A_PASS — NGame lifecycle map sealed under deferred metadata-only Cecil read; externalResolutionRequests=0; enterTreeToken=0x06001BCC; sameNGameReachable=18; verifiedInertStartupWrapper=YES; forbiddenLaterStartupReachable=0; no lifecycle execution/native escape.
2026-09-08T02:13:44.8926100+00:00 | run=20260908T0213448370620Z-pid82170-2800d6c3b45e4e4da88de49eca266332 | pid=82170 | managedThread=1 | H_A_STATIC_MAP_WRITE_RETURNED — verified NGame lifecycle static map durably written.
2026-09-08T02:13:44.8931790+00:00 | run=20260908T0213448370620Z-pid82170-2800d6c3b45e4e4da88de49eca266332 | pid=82170 | managedThread=1 | H_B_UI_SELECTED — Gate B selected on UI thread; managedThread=1; isMain=True.
2026-09-08T02:13:44.8934440+00:00 | run=20260908T0213448370620Z-pid82170-2800d6c3b45e4e4da88de49eca266332 | pid=82170 | managedThread=1 | H_B_ENTRY — re-instantiating the already verified FMOD-neutral PackedScene off-tree for the isolated _EnterTree experiment; no lifecycle method is called yet.
2026-09-08T02:13:44.8955020+00:00 | run=20260908T0213448370620Z-pid82170-2800d6c3b45e4e4da88de49eca266332 | pid=82170 | managedThread=1 | H_B_PASS — fresh off-tree NGame prepared; enterTreeToken=0x06001BCC; insideTree=False; resolverDelta=0; hostDelta=0; privateDelta=0; initializerDelta=0; rejectedDelta=0; nativeDelta=0; lifecycleCalls=0.
2026-09-08T02:13:44.8977130+00:00 | run=20260908T0213448370620Z-pid82170-2800d6c3b45e4e4da88de49eca266332 | pid=82170 | managedThread=1 | H_C_UI_SELECTED — Gate C selected on UI thread; managedThread=1; isMain=True.
2026-09-08T02:13:44.8980290+00:00 | run=20260908T0213448370620Z-pid82170-2800d6c3b45e4e4da88de49eca266332 | pid=82170 | managedThread=1 | H_C_INVOKE_START — invoking exact NGame._EnterTree once by MethodInfo on the off-tree instance; token=0x06001BCC; insideTreeBefore=False. No AddChild is performed, so Godot automatic _Ready is not authorized.
2026-09-08T02:13:44.9013280+00:00 | run=20260908T0213448370620Z-pid82170-2800d6c3b45e4e4da88de49eca266332 | pid=82170 | managedThread=1 | H_C_EXCEPTION_CAPTURED — top=System.Reflection.TargetInvocationException; base=System.NullReferenceException; insideTreeAfterFailure=False; resolverDelta=1; hostDelta=1; privateDelta=0; initializerDelta=0; rejectedDelta=0; nativeDelta=0.
