StS2 Launcher — Step 38.2 controlled NGame._EnterTree checkpoint
Output-only diagnostic; never consumed as trusted runtime input.
Run ID: 20260908T0607127158580Z-pid83566-3add54581b2e48a794a99d9de71dd7d2
Initialized UTC: 2026-09-08T06:07:12.7158580+00:00
Process ID: 83566
App version: 0.0.165 (165)
Candidate: STEP 38.2 — VERIFIED IOS/OFFTREE LIFECYCLE COMPAT + STATIC MAP + OFF-TREE NGAME _ENTERTREE ONCE + CONFINEMENT/RELEASE
Prerequisite: same-process Step-37.0.1 4/4 authority; AddChild/_Ready/_ExitTree/GameStartup/InitializePlatform/main-menu/ExecuteDeferred/Steam/native GDExtensions remain forbidden.

2026-09-08T06:07:12.7243290+00:00 | run=20260908T0607127158580Z-pid83566-3add54581b2e48a794a99d9de71dd7d2 | pid=83566 | managedThread=1 | RUN_TELEMETRY_READY — Step38 run journal created and durably flushed before Gate A.
2026-09-08T06:07:12.7280970+00:00 | run=20260908T0607127158580Z-pid83566-3add54581b2e48a794a99d9de71dd7d2 | pid=83566 | managedThread=1 | RUN_START — Step 38.2 iOS/off-tree-compatible NGame._EnterTree experiment started after same-process Step-37.0.1 4/4 closure.
2026-09-08T06:07:12.7407760+00:00 | run=20260908T0607127158580Z-pid83566-3add54581b2e48a794a99d9de71dd7d2 | pid=83566 | managedThread=1 | H_A_ENTRY — Step-37.0.1 4/4 same-process authority present; opening exact selected sts2 compatibility image read-only with Cecil; path=/var/mobile/Containers/Data/Application/357B073A-D9C6-48AA-A4A7-19FD959E039C/Documents/StS2Launcher/Step35-ExecuteVeryEarlyDiagnostic/sts2.step38.2.lifecycle-bootstrap.dll; sha256=2bc7daeb395114aecb8f05770ee65f3a632803f6ade6967227b00112e59d2f67. No lifecycle method is invoked in Gate A.
2026-09-08T06:07:12.7674970+00:00 | run=20260908T0607127158580Z-pid83566-3add54581b2e48a794a99d9de71dd7d2 | pid=83566 | managedThread=1 | H_A_PASS — NGame lifecycle map sealed under deferred metadata-only Cecil read; verifiedInertStartupWrapper=YES; sentryInitializeCalls=0; getWindowCalls=0; filesDroppedRefs=0; connectCalls=0; externalResolutionRequests=0; enterTreeToken=0x06001BCC; sameNGameReachable=18; forbiddenLaterStartupReachable=0; no lifecycle execution/native escape.
2026-09-08T06:07:12.7733660+00:00 | run=20260908T0607127158580Z-pid83566-3add54581b2e48a794a99d9de71dd7d2 | pid=83566 | managedThread=1 | H_A_STATIC_MAP_WRITE_RETURNED — verified NGame lifecycle static map durably written.
2026-09-08T06:07:12.7739230+00:00 | run=20260908T0607127158580Z-pid83566-3add54581b2e48a794a99d9de71dd7d2 | pid=83566 | managedThread=1 | H_B_UI_SELECTED — Gate B selected on UI thread; managedThread=1; isMain=True.
2026-09-08T06:07:12.7742010+00:00 | run=20260908T0607127158580Z-pid83566-3add54581b2e48a794a99d9de71dd7d2 | pid=83566 | managedThread=1 | H_B_ENTRY — re-instantiating the already verified FMOD-neutral PackedScene off-tree for the isolated _EnterTree experiment; no lifecycle method is called yet.
2026-09-08T06:07:12.7766300+00:00 | run=20260908T0607127158580Z-pid83566-3add54581b2e48a794a99d9de71dd7d2 | pid=83566 | managedThread=1 | H_B_PASS — fresh off-tree NGame prepared; enterTreeToken=0x06001BCC; insideTree=False; resolverDelta=0; hostDelta=0; privateDelta=0; initializerDelta=0; rejectedDelta=0; nativeDelta=0; lifecycleCalls=0.
2026-09-08T06:07:12.7787590+00:00 | run=20260908T0607127158580Z-pid83566-3add54581b2e48a794a99d9de71dd7d2 | pid=83566 | managedThread=1 | H_C_UI_SELECTED — Gate C selected on UI thread; managedThread=1; isMain=True.
2026-09-08T06:07:12.7790500+00:00 | run=20260908T0607127158580Z-pid83566-3add54581b2e48a794a99d9de71dd7d2 | pid=83566 | managedThread=1 | H_C_INVOKE_START — invoking verified Step-38.2 compatibility NGame._EnterTree once by MethodInfo on the off-tree instance; token=0x06001BCC; insideTreeBefore=False. No AddChild is performed, so Godot automatic _Ready is not authorized.
2026-09-08T06:07:12.7799210+00:00 | run=20260908T0607127158580Z-pid83566-3add54581b2e48a794a99d9de71dd7d2 | pid=83566 | managedThread=1 | H_C_PASS — verified Step-38.2 compatibility NGame._EnterTree returned; insideTreeAfter=False; state=2; resolverDelta=0; hostDelta=0; privateDelta=0; initializerDelta=0; rejectedDelta=0; nativeDelta=0; _Ready/GameStartup/InitializePlatform/main-menu/ExecuteDeferred remain uninvoked by Step-38 authority.
