StS2 Launcher — Step 39.0 real SceneTree admission checkpoint
Output-only diagnostic; never consumed as trusted runtime input.
Run ID: 20260908T1827211854120Z-pid89068-ad9cf93da3ae4b3eb59c4927c8c7846d
Initialized UTC: 2026-09-08T18:27:21.1854120+00:00
Process ID: 89068
App version: 0.0.168 (168)
Candidate: STEP 39.0 — PREFLIGHT/HIERARCHY AUDIT + REAL SCENETREE ROOT.ADDCHILD + IMMEDIATE RENDER FREEZE + FROZEN CONFINEMENT
Prerequisite: fresh process same-process Step-37.0.1 4/4 authority; Step 38 must be skipped in this process. GameStartup/InitializePlatform/main-menu/ExecuteDeferred/Steam/native GDExtensions/explicit _ExitTree remain forbidden.

2026-09-08T18:27:21.1936770+00:00 | run=20260908T1827211854120Z-pid89068-ad9cf93da3ae4b3eb59c4927c8c7846d | pid=89068 | managedThread=1 | RUN_TELEMETRY_READY — Step39 run journal created and durably flushed before Gate A.
2026-09-08T18:27:21.1966230+00:00 | run=20260908T1827211854120Z-pid89068-ad9cf93da3ae4b3eb59c4927c8c7846d | pid=89068 | managedThread=1 | RUN_START — Step 39.0 real SceneTree admission started after same-process Step-37.0.1 4/4 closure; Step 38 was not run in this process.
2026-09-08T18:27:21.1975970+00:00 | run=20260908T1827211854120Z-pid89068-ad9cf93da3ae4b3eb59c4927c8c7846d | pid=89068 | managedThread=1 | I_A_ENTRY — same-process Step-37.0.1 4/4 authority present; Step 38 is treated as prior physical evidence and must not have been rerun in this process. Re-verifying exact Step-38.2 compatibility image plus four sealed Step-39 preflight PCK resources before any real SceneTree insertion.
2026-09-08T18:27:21.2425830+00:00 | run=20260908T1827211854120Z-pid89068-ad9cf93da3ae4b3eb59c4927c8c7846d | pid=89068 | managedThread=1 | I_A_PASS — selected Step-38.2 compatibility authority reverified; four exact PCK preflight resources matched bytes/SHA-256/MD5; audio proxy GDScript header=GDSC/v101/decompressed=9828; offline token audit authority=69 identifiers with no lifecycle callbacks; nested scenes contain no FMOD/Spine/Sentry/Steam/GDExtension declarations; resolver/native deltas=0.
2026-09-08T18:27:21.2457260+00:00 | run=20260908T1827211854120Z-pid89068-ad9cf93da3ae4b3eb59c4927c8c7846d | pid=89068 | managedThread=1 | I_B_UI_SELECTED — Gate B selected on UI thread; managedThread=1; isMain=True.
2026-09-08T18:27:21.2461250+00:00 | run=20260908T1827211854120Z-pid89068-ad9cf93da3ae4b3eb59c4927c8c7846d | pid=89068 | managedThread=1 | I_B_ENTRY — instantiating a fresh copy of the physically proven FMOD-neutral PackedScene off-tree, requiring NGame.Instance to remain null, enumerating the actual node graph, mapping managed immediate lifecycle callbacks, and resolving the live SceneTree root without inserting the game.
2026-09-08T18:27:21.3697310+00:00 | run=20260908T1827211854120Z-pid89068-ad9cf93da3ae4b3eb59c4927c8c7846d | pid=89068 | managedThread=1 | I_INSTANCE_RELEASED — scope=Gate-B failure; off-tree Step-39 NGame released before any real insertion.
2026-09-08T18:27:21.3700330+00:00 | run=20260908T1827211854120Z-pid89068-ad9cf93da3ae4b3eb59c4927c8c7846d | pid=89068 | managedThread=1 | I_B_FAIL — stage=actual hierarchy managed-lifecycle static audit; System.IO.InvalidDataException: Step 39.0 managed lifecycle closure reaches forbidden startup/native/platform references: System.Void MegaCrit.Sts2.Core.Nodes.NGame::_Notification(System.Int32) -> System.String MegaCrit.Sts2.Core.Localization.LocManager::SmartFormat(MegaCrit.Sts2.Core.Localization.LocString,System.Collections.Generic.Dictionary`2<System.String,System.Object>) -> System.Void System.Action`1<Sentry.Scope>::.ctor(System.Object,System.IntPtr)
2026-09-08T18:27:21.3844310+00:00 | run=20260908T1827211854120Z-pid89068-ad9cf93da3ae4b3eb59c4927c8c7846d | pid=89068 | managedThread=1 | RUN_FINALLY_ENTER — Step-39 managed control reached finally; managedThread=1; isMain=True; renderingActive=True.
2026-09-08T18:27:21.3910500+00:00 | run=20260908T1827211854120Z-pid89068-ad9cf93da3ae4b3eb59c4927c8c7846d | pid=89068 | managedThread=16 | RUN_NORMAL_REPORT_RETURNED — Step39 report writer returned.
2026-09-08T18:27:21.4011000+00:00 | run=20260908T1827211854120Z-pid89068-ad9cf93da3ae4b3eb59c4927c8c7846d | pid=89068 | managedThread=16 | RUN_END — Step-39 UI operation ended normally after explicit teardown; Step 39 never restarts Godot rendering.
