StS2 Launcher — Step 41.0 GameStartup async frontier checkpoint
Output-only diagnostic; never consumed as trusted runtime input.
Run ID: 20260909T0559448772070Z-pid95807-2469c0d3566e48cb8668ad24f6081743
Initialized UTC: 2026-09-09T05:59:44.8772070+00:00
Process ID: 95807
App version: 0.0.173 (173)
Candidate: STEP 41.0 — CLOSED STEP-40 FROZEN AUTHORITY + EXACT GAMESTARTUP ASYNC STATEMACHINE MAP + TRANSITIVE STARTUP BOUNDARY MAP + NO-INVOCATION CONFINEMENT
Prerequisite: same-process Step-40 4/4 with real NGame retained in-tree and renderer stopped. GameStartup/InitializePlatform/main-menu/ExecuteDeferred/Steam/native game GDExtension execution remains forbidden.

2026-09-09T05:59:44.8854990+00:00 | run=20260909T0559448772070Z-pid95807-2469c0d3566e48cb8668ad24f6081743 | pid=95807 | managedThread=1 | RUN_TELEMETRY_READY — Step41 run journal created and durably flushed before Gate A.
2026-09-09T05:59:44.8883830+00:00 | run=20260909T0559448772070Z-pid95807-2469c0d3566e48cb8668ad24f6081743 | pid=95807 | managedThread=1 | RUN_START — Step 41.0 non-invoking GameStartup async frontier map started from same-process Step-40 4/4 frozen authority. GameStartup is not invoked and rendering is not restarted.
2026-09-09T05:59:44.8893340+00:00 | run=20260909T0559448772070Z-pid95807-2469c0d3566e48cb8668ad24f6081743 | pid=95807 | managedThread=1 | K_A_ENTRY — requiring same-process Step-40 4/4 frozen authority, retained real NGame singleton/parent/_window/state=2, unchanged selected compatibility bytes, and still-inert GameStartupWrapper. Step 41 performs metadata/IL mapping only; GameStartup is not invoked.
2026-09-09T05:59:44.9175020+00:00 | run=20260909T0559448772070Z-pid95807-2469c0d3566e48cb8668ad24f6081743 | pid=95807 | managedThread=1 | K_A_PASS — same-process Step-40 4/4 retained with renderingStopped=True; NGame authority/state=2; selectedSha256=89e7ef79d74457fa4e96078c2363d1c0f6342e8b96a2e6e13bd308024bfbf60a; GameStartupWrapper inert; resolver/native deltas=0; GameStartup invoked=NO.
2026-09-09T05:59:44.9214350+00:00 | run=20260909T0559448772070Z-pid95807-2469c0d3566e48cb8668ad24f6081743 | pid=95807 | managedThread=1 | K_B_ENTRY — locating exact NGame.GameStartup metadata without invocation, resolving only its AsyncStateMachineAttribute type reference inside the same module, and mapping the compiler-generated MoveNext body plus state-machine fields. Rendering remains frozen.
2026-09-09T05:59:44.9534850+00:00 | run=20260909T0559448772070Z-pid95807-2469c0d3566e48cb8668ad24f6081743 | pid=95807 | managedThread=1 | K_B_PASS — GameStartup token=0x06001BD1; asyncStateMachine=MegaCrit.Sts2.Core.Nodes.NGame/<GameStartup>d__117; MoveNext token=0x06001C31; GameStartupIL=17; MoveNextIL=411; stateMachineFields=9; externalResolutionRequests=0; invocation=NO.
2026-09-09T05:59:44.9556970+00:00 | run=20260909T0559448772070Z-pid95807-2469c0d3566e48cb8668ad24f6081743 | pid=95807 | managedThread=1 | K_C_ENTRY — traversing the exact GameStartup MoveNext same-sts2 call closure without executing it; collecting path-qualified platform/Steam/main-menu/deferred/FMOD/Spine/Sentry/native-facing boundary references while rejecting unresolved same-sts2 metadata and any external Cecil resolution.
2026-09-09T05:59:45.0624480+00:00 | run=20260909T0559448772070Z-pid95807-2469c0d3566e48cb8668ad24f6081743 | pid=95807 | managedThread=1 | K_C_PASS — transitiveSameSts2StartupClosureMethods=691; classifiedBoundaryRefs=46; categories=LAUNCH_MAIN_MENU=1,ONE_TIME_INITIALIZATION=2,PLATFORM=36,SENTRY_INERT_WRAPPER=5,STEAM=2; unresolvedSameSts2Refs=0; externalResolutionRequests=0; GameStartup invoked=NO; rendering remains stopped.
2026-09-09T05:59:45.0707360+00:00 | run=20260909T0559448772070Z-pid95807-2469c0d3566e48cb8668ad24f6081743 | pid=95807 | managedThread=1 | K_C_STATIC_MAP_WRITE_RETURNED — verified Step-41 GameStartup/MoveNext IL + transitive boundary map durably written; GameStartup still not invoked; rendering still stopped.
2026-09-09T05:59:45.0711350+00:00 | run=20260909T0559448772070Z-pid95807-2469c0d3566e48cb8668ad24f6081743 | pid=95807 | managedThread=1 | K_D_ENTRY — proving the static GameStartup map caused no invocation or runtime drift: renderer still frozen, retained real NGame authority/state=2 intact, GameStartupWrapper still inert, and zero initializer/rejected/native escape.
2026-09-09T05:59:45.0797900+00:00 | run=20260909T0559448772070Z-pid95807-2469c0d3566e48cb8668ad24f6081743 | pid=95807 | managedThread=1 | K_D_PASS — renderingStopped=True; real NGame authority/state=2 preserved; GameStartupWrapper inert; GameStartup invoked=NO; mappedClosureMethods=691; mappedBoundaryRefs=46; resolverDelta=0; hostDelta=0; privateDelta=0; initializerDelta=0; rejectedDelta=0; nativeDelta=0.
2026-09-09T05:59:45.0821620+00:00 | run=20260909T0559448772070Z-pid95807-2469c0d3566e48cb8668ad24f6081743 | pid=95807 | managedThread=1 | RUN_STEP41_4OF4 — exact GameStartup async state-machine and transitive startup boundary map completed under frozen no-invocation confinement; GameStartup/platform/Steam/main-menu/deferred/native execution remains unopened.
2026-09-09T05:59:45.0823360+00:00 | run=20260909T0559448772070Z-pid95807-2469c0d3566e48cb8668ad24f6081743 | pid=95807 | managedThread=1 | RUN_FINALLY_ENTER — Step-41 managed control reached finally; managedThread=1; isMain=True; renderingActive=False.
2026-09-09T05:59:45.0832760+00:00 | run=20260909T0559448772070Z-pid95807-2469c0d3566e48cb8668ad24f6081743 | pid=95807 | managedThread=14 | RUN_NORMAL_REPORT_RETURNED — Step41 report writer returned.
2026-09-09T05:59:45.0845850+00:00 | run=20260909T0559448772070Z-pid95807-2469c0d3566e48cb8668ad24f6081743 | pid=95807 | managedThread=14 | RUN_END — Step-41 UI operation ended normally; GameStartup was never invoked and Step 41 never restarted rendering.
