StS2 Launcher — Step 49.0 Frozen NMainMenu SceneTree admission checkpoint
Output-only diagnostic; never consumed as trusted runtime input.
Run ID: 20260910T1651224775280Z-pid11478-ba82d869e2394659b9d503c7162bca50
Initialized UTC: 2026-09-10T16:51:22.4775280+00:00
Process ID: 11478
App version: 0.0.181 (181)
Candidate: STEPS 43–52 SEQUENTIAL STARTUP LADDER — STOP ON FIRST FAILURE; LATER RUNGS REQUIRE SAME-PROCESS PRIOR 4/4 AUTHORITY.
Global policy: Steps 43–49 keep rendering frozen. Original GameStartup/LaunchMainMenu, DoCloudSync, migration mutation, InitializePlatform, native Steamworks, ExecuteDeferred, and native game GDExtensions remain unopened. Steps 47–49 use the direct main-menu resource/scene route; Step 50 alone may run one audited bounded render pulse and must synchronously refreeze.

2026-09-10T16:51:22.4858570+00:00 | run=20260910T1651224775280Z-pid11478-ba82d869e2394659b9d503c7162bca50 | pid=11478 | managedThread=1 | RUN_TELEMETRY_READY — run-correlated ladder journal created and durably flushed before Gate A.
2026-09-10T16:51:22.4873690+00:00 | run=20260910T1651224775280Z-pid11478-ba82d869e2394659b9d503c7162bca50 | pid=11478 | managedThread=1 | RUN_START — Step 49.0 one-shot frozen NMainMenu admission started. Rendering remains stopped; only exact RootSceneContainer.AddChild of the already-audited off-tree menu is authorized.
2026-09-10T16:51:22.5142290+00:00 | run=20260910T1651224775280Z-pid11478-ba82d869e2394659b9d503c7162bca50 | pid=11478 | managedThread=1 | M49_A_PASS — Step-48 4/4 retained; real NMainMenu remains off-tree; renderingStopped=True; state=2; first frozen RootSceneContainer admission not yet armed.
2026-09-10T16:51:22.5532670+00:00 | run=20260910T1651224775280Z-pid11478-ba82d869e2394659b9d503c7162bca50 | pid=11478 | managedThread=1 | M49_B_PASS — exact retained /Game/RootSceneContainer resolved independent of nullable NGame property; propertyWasNull=True; setterToken=0x06001B9B; setterCalls=0; setterFieldWrites=1; unexpectedSetterOpcodes=0; childrenBefore=0; AddChild(Node,bool,InternalMode) bound; NMainMenu still off-tree; renderingStopped=True; AddChild=NO.
2026-09-10T16:51:22.5543330+00:00 | run=20260910T1651224775280Z-pid11478-ba82d869e2394659b9d503c7162bca50 | pid=11478 | managedThread=1 | M49_B_STATIC_MAP_WRITE_RETURNED — exact RootSceneContainer/AddChild authority map durably written before one-shot frozen admission.
2026-09-10T16:51:22.5545380+00:00 | run=20260910T1651224775280Z-pid11478-ba82d869e2394659b9d503c7162bca50 | pid=11478 | managedThread=1 | M49_C_UI_ARMED — first/only frozen RootSceneContainer.AddChild(NMainMenu) authorized; no in-process retry after this checkpoint.
2026-09-10T16:51:22.5626680+00:00 | run=20260910T1651224775280Z-pid11478-ba82d869e2394659b9d503c7162bca50 | pid=11478 | managedThread=1 | M49_C_ROOT_PROPERTY_REPAIR_START — NGame.RootSceneContainer is null while exact retained /Game/RootSceneContainer exists; assigning that exact child once via token=0x06001B9B before menu lifecycle admission.
2026-09-10T16:51:22.5629270+00:00 | run=20260910T1651224775280Z-pid11478-ba82d869e2394659b9d503c7162bca50 | pid=11478 | managedThread=1 | M49_C_ROOT_PROPERTY_REPAIR_PASS — NGame.RootSceneContainer now points to exact retained /Game/RootSceneContainer; context/native counts unchanged; menu remains off-tree; renderer frozen.
2026-09-10T16:51:22.5631550+00:00 | run=20260910T1651224775280Z-pid11478-ba82d869e2394659b9d503c7162bca50 | pid=11478 | managedThread=1 | M49_C_ADDCHILD_START — adding exact audited NMainMenu once to retained NGame.RootSceneContainer while renderer remains frozen; childrenBefore=0. Automatic audited _EnterTree/_Ready/_Notification only; no original LaunchMainMenu/deferred/Steam/native extension authorized.
2026-09-10T16:51:22.6783080+00:00 | run=20260910T1651224775280Z-pid11478-ba82d869e2394659b9d503c7162bca50 | pid=11478 | managedThread=1 | M49_C_FAIL — stage=frozen RootSceneContainer.AddChild(NMainMenu); System.IO.InvalidDataException: Step 39.0 node-graph traversal exceeded 256 nodes.
2026-09-10T16:51:22.6948620+00:00 | run=20260910T1651224775280Z-pid11478-ba82d869e2394659b9d503c7162bca50 | pid=11478 | managedThread=1 | RUN_FINALLY_ENTER — managed control reached finally; managedThread=1; isMain=True; renderingActive=False. If AddChild was armed, never retry Step 49 in-process. Rendering must remain frozen.
2026-09-10T16:51:22.7010120+00:00 | run=20260910T1651224775280Z-pid11478-ba82d869e2394659b9d503c7162bca50 | pid=11478 | managedThread=15 | RUN_NORMAL_REPORT_RETURNED — step report writer returned.
2026-09-10T16:51:22.7128930+00:00 | run=20260910T1651224775280Z-pid11478-ba82d869e2394659b9d503c7162bca50 | pid=11478 | managedThread=15 | RUN_END — Step-49 UI operation ended normally; If AddChild was armed, never retry Step 49 in-process. Rendering must remain frozen.
