StS2 Launcher — Step 56.0 Character-select transition frontier checkpoint
Output-only diagnostic; never consumed as trusted runtime input.
Run ID: 20260911T1823520018770Z-pid5975-9c0c560791ab400d90e4bb92bbc3fb3c
Initialized UTC: 2026-09-11T18:23:52.0018770+00:00
Process ID: 5975
App version: 0.0.188 (188)
Candidate: STEPS 43–57 SEQUENTIAL STARTUP LADDER — STOP ON FIRST FAILURE; STEPS 53–57 REQUIRE SAME-PROCESS PHYSICALLY CLOSED STEP-52 AUTHORITY.
Global policy: physical authority through Step 52 remains the baseline. Steps 53–54/56–57 keep rendering frozen; Step 55 alone adds one bounded single-player-submenu render residency and synchronously refreezes. Original GameStartup/LaunchMainMenu, DoCloudSync, migration mutation, InitializePlatform, native Steamworks, ExecuteDeferred, native game GDExtensions, and character-select execution remain unopened.

2026-09-11T18:23:52.0028370+00:00 | run=20260911T1823520018770Z-pid5975-9c0c560791ab400d90e4bb92bbc3fb3c | pid=5975 | managedThread=1 | RUN_TELEMETRY_READY — run-correlated ladder journal created and durably flushed before Gate A.
2026-09-11T18:23:52.0036860+00:00 | run=20260911T1823520018770Z-pid5975-9c0c560791ab400d90e4bb92bbc3fb3c | pid=5975 | managedThread=1 | RUN_START — Step 56.0 exact NSingleplayerSubmenu.OpenCharacterSelect frontier/resource-literal map started. OpenCharacterSelect is not invoked.
2026-09-11T18:23:52.0185230+00:00 | run=20260911T1823520018770Z-pid5975-9c0c560791ab400d90e4bb92bbc3fb3c | pid=5975 | managedThread=1 | M56_A_PASS — Step-55 4/4 rendered/refrozen NSingleplayerSubmenu authority retained; OpenCharacterSelect remains uninvoked.
2026-09-11T18:23:52.0466300+00:00 | run=20260911T1823520018770Z-pid5975-9c0c560791ab400d90e4bb92bbc3fb3c | pid=5975 | managedThread=1 | M56_B_PASS — exact OpenCharacterSelect bound token=0x06003F71; IL=11; externalResolution=0; invocation=NO.
2026-09-11T18:23:52.2059450+00:00 | run=20260911T1823520018770Z-pid5975-9c0c560791ab400d90e4bb92bbc3fb3c | pid=5975 | managedThread=1 | M56_C_PASS — OpenCharacterSelect frontier mapped without invocation; closureMethods=297; immediateBoundaryRefs=3; guardedFrontiers=4; deferredFrontiers=56; characterSelectSceneHints=0; unresolved/external=0.
2026-09-11T18:23:52.2070620+00:00 | run=20260911T1823520018770Z-pid5975-9c0c560791ab400d90e4bb92bbc3fb3c | pid=5975 | managedThread=1 | M56_C_STATIC_MAP_WRITE_RETURNED — exact OpenCharacterSelect IL/frontier/resource-literal evidence durably written; invocation remains NO.
2026-09-11T18:23:52.2078480+00:00 | run=20260911T1823520018770Z-pid5975-9c0c560791ab400d90e4bb92bbc3fb3c | pid=5975 | managedThread=1 | M56_D_PASS — character-select frontier durable; OpenCharacterSelect invocation=NO; characterSelectSceneHints=0; renderingStopped=True; drift=0.
2026-09-11T18:23:52.2084730+00:00 | run=20260911T1823520018770Z-pid5975-9c0c560791ab400d90e4bb92bbc3fb3c | pid=5975 | managedThread=1 | RUN_STEP56_4OF4 — non-invoking character-select frontier/resource discovery closed; Step 57 read-only PCK preflight unlocked.
2026-09-11T18:23:52.2086100+00:00 | run=20260911T1823520018770Z-pid5975-9c0c560791ab400d90e4bb92bbc3fb3c | pid=5975 | managedThread=1 | RUN_FINALLY_ENTER — managed control reached finally; managedThread=1; isMain=True; renderingActive=False. Step 56 never invokes OpenCharacterSelect or restarts rendering.
2026-09-11T18:23:52.2094300+00:00 | run=20260911T1823520018770Z-pid5975-9c0c560791ab400d90e4bb92bbc3fb3c | pid=5975 | managedThread=15 | RUN_NORMAL_REPORT_RETURNED — step report writer returned.
2026-09-11T18:23:52.2113880+00:00 | run=20260911T1823520018770Z-pid5975-9c0c560791ab400d90e4bb92bbc3fb3c | pid=5975 | managedThread=15 | RUN_END — Step-56 UI operation ended normally; Step 56 never invokes OpenCharacterSelect or restarts rendering.
